relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.12239818274974823,0.05805214121937752,0.14424921572208405,0.18949878215789795,0.24915772676467896,0.2842999994754791,0.39104098081588745,0.2166861742734909,0.1301874816417694,0.058663275092840195,0.15622062981128693,0.20667892694473267,0.2718917727470398,0.30923494696617126
relatedto,0.07538265734910965,0.02599715068936348,0.08716168254613876,0.1230413094162941,0.17370013892650604,0.2044159471988678,,,0.08744394779205322,0.03106836974620819,0.10331705957651138,0.14437733590602875,0.20050300657749176,0.23352818191051483
hascontext,0.14228001236915588,0.08796296268701553,0.1527777761220932,0.21759259700775146,0.25925925374031067,0.26851850748062134,,,0.14360450208187103,0.0890594944357872,0.15322232246398926,0.21738514304161072,0.26411953568458557,0.27237117290496826
isa,0.1183648481965065,0.03810901939868927,0.15774241089820862,0.2021225243806839,0.27062228322029114,0.30487215518951416,,,0.11206410825252533,0.03440987691283226,0.1468113511800766,0.1927429437637329,0.26212772727012634,0.2960391640663147
synonym,0.3638835847377777,0.28694769740104675,0.3991874158382416,0.4530218541622162,0.5017775893211365,0.5347892642021179,,,0.3081919848918915,0.22442927956581116,0.34650513529777527,0.4052726924419403,0.45829474925994873,0.493968665599823
atlocation,0.09419331699609756,0.03903903812170029,0.09459459781646729,0.13363364338874817,0.21171171963214874,0.27177178859710693,,,0.09820084273815155,0.040995027869939804,0.09854907542467117,0.140986829996109,0.22235669195652008,0.2838287055492401
etymologicallyrelatedto,0.04657586291432381,0.0054054055362939835,0.054054055362939835,0.09189189225435257,0.11891892552375793,0.15135136246681213,,,0.04692251980304718,0.005389801692217588,0.05389801412820816,0.0916266217827797,0.12146229296922684,0.1538011133670807
distinctfrom,0.16727404296398163,0.010989011265337467,0.23626373708248138,0.38461539149284363,0.47252747416496277,0.5439560413360596,,,0.19334469735622406,0.00953491311520338,0.28912433981895447,0.45586222410202026,0.541843593120575,0.6255490779876709
haslastsubevent,0.10054323822259903,0.05263157933950424,0.10526315867900848,0.15789473056793213,0.15789473056793213,0.15789473056793213,,,0.09739889949560165,0.050899870693683624,0.10179974138736725,0.15269960463047028,0.15269960463047028,0.15269960463047028
usedfor,0.09935210645198822,0.038062285631895065,0.11072664707899094,0.16262976825237274,0.23529411852359772,0.2802768349647522,,,0.10209744423627853,0.03930749371647835,0.11289561539888382,0.16584859788417816,0.24350540339946747,0.2903377413749695
