relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.40023285150527954,0.3148781359195709,0.4340886175632477,0.4917343258857727,0.5636311769485474,0.6103747487068176,0.188714399933815,0.08959943056106567,0.4140791594982147,0.3250088691711426,0.4511278569698334,0.5105631947517395,0.5841803550720215,0.6317682862281799
concept:academicprogramatuniversity,0.7692071795463562,0.7272727489471436,0.8181818723678589,0.8181818723678589,0.8181818723678589,0.9090909361839294,,,0.7968563437461853,0.7557595372200012,0.8559607863426208,0.8559607863426208,0.8559607863426208,0.8997988104820251
concept:acquired,0.11386572569608688,0.0,0.09090909361839294,0.27272728085517883,0.4545454680919647,0.4545454680919647,,,0.1202155351638794,0.0,0.09436427056789398,0.28948667645454407,0.4830004572868347,0.4830004572868347
concept:acquiredby,0.17555703222751617,0.05263157933950424,0.15789473056793213,0.2631579041481018,0.4736842215061188,0.6315789222717285,,,0.17229405045509338,0.06048906221985817,0.16631485521793365,0.2521750330924988,0.3913680911064148,0.5757311582565308
concept:agentactsinlocation,0.12972401082515717,0.05925925821065903,0.14074073731899261,0.18518517911434174,0.2888888716697693,0.34074074029922485,,,0.1373579353094101,0.06308172643184662,0.15281042456626892,0.198200985789299,0.3099231719970703,0.36320847272872925
concept:agentbelongstoorganization,0.698023796081543,0.6170212626457214,0.7234042286872864,0.7872340083122253,0.8723403811454773,0.9148935675621033,,,0.6987390518188477,0.6128044724464417,0.7224171757698059,0.7911154627799988,0.8913776874542236,0.9303008913993835
concept:agentcollaborateswithagent,0.37832194566726685,0.3067426383495331,0.404558390378952,0.4472934305667877,0.5232668519020081,0.5641025304794312,,,0.4205673933029175,0.3419932723045349,0.4502575695514679,0.499753475189209,0.5834384560585022,0.6234760284423828
concept:agentcompeteswithagent,0.2966006398200989,0.23018868267536163,0.3056603670120239,0.36226415634155273,0.4283019006252289,0.473584920167923,,,0.3112618923187256,0.24382847547531128,0.3195154666900635,0.37301355600357056,0.44248008728027344,0.4905282258987427
concept:agentcontributedtocreativework,0.00026212321245111525,0.0,0.0,0.0,0.0,0.0,,,0.00026212321245111525,0.0,0.0,0.0,0.0,0.0
concept:agentcontrols,0.32855913043022156,0.2017543911933899,0.37280702590942383,0.48245614767074585,0.6008772253990173,0.6578947305679321,,,0.3418148458003998,0.21800163388252258,0.3876303434371948,0.4844924807548523,0.6030524969100952,0.6694676876068115
concept:agentcreated,0.09578772634267807,0.03999999910593033,0.11999999731779099,0.11999999731779099,0.19999998807907104,0.3199999928474426,,,0.08905620127916336,0.04020893946290016,0.10746753215789795,0.10746753215789795,0.17472612857818604,0.28219205141067505
concept:agenthaswebsite,0.6670995950698853,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,,,0.6326615810394287,0.6321839094161987,0.6321839094161987,0.6321839094161987,0.6321839094161987,0.6321839094161987
concept:agentinvolvedwithitem,0.31913819909095764,0.25,0.25,0.25,0.75,0.75,,,0.3634462356567383,0.2836052477359772,0.2836052477359772,0.2836052477359772,0.8714016675949097,0.8714016675949097
