relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.22746379673480988,0.1652412712574005,0.2591095268726349,0.29419997334480286,0.34053802490234375,0.3654175102710724,0.401959091424942,0.22753815352916718,0.24558541178703308,0.17864632606506348,0.28122392296791077,0.31843987107276917,0.36768317222595215,0.39303773641586304
relatedto,0.18266618251800537,0.13007478415966034,0.20860043168067932,0.23691238462924957,0.27421653270721436,0.2962072491645813,,,0.210069939494133,0.15266191959381104,0.24115847051143646,0.2713026702404022,0.30986490845680237,0.33146917819976807
hascontext,0.18378505110740662,0.14814814925193787,0.2083333283662796,0.2222222238779068,0.26851850748062134,0.28240740299224854,,,0.18348509073257446,0.1469627171754837,0.20913350582122803,0.22364473342895508,0.27130430936813354,0.2836817502975464
isa,0.24056601524353027,0.19343946874141693,0.25663289427757263,0.2899180054664612,0.33574530482292175,0.364206463098526,,,0.23022976517677307,0.18282929062843323,0.2457803189754486,0.27906906604766846,0.3252592980861664,0.3543769419193268
synonym,0.41062167286872864,0.30827832221984863,0.48247843980789185,0.5226002931594849,0.577958345413208,0.6028441190719604,,,0.3709978759288788,0.2640331983566284,0.445053368806839,0.48614728450775146,0.5464069843292236,0.5730938911437988
atlocation,0.1632264256477356,0.10810811072587967,0.18168169260025024,0.2177177220582962,0.27627629041671753,0.31081080436706543,,,0.17173723876476288,0.11446553468704224,0.1909743845462799,0.22903060913085938,0.28807690739631653,0.32494381070137024
etymologicallyrelatedto,0.11311611533164978,0.07027027010917664,0.14054054021835327,0.1621621698141098,0.2108108103275299,0.22162163257598877,,,0.11293391138315201,0.07006742060184479,0.14013484120368958,0.16169404983520508,0.21020227670669556,0.22098186612129211
distinctfrom,0.365604966878891,0.2527472674846649,0.4395604431629181,0.5054945349693298,0.5659340620040894,0.6153846383094788,,,0.4667915999889374,0.34851011633872986,0.5624651908874512,0.6083183884620667,0.6806963682174683,0.7060043215751648
haslastsubevent,0.09791702777147293,0.05263157933950424,0.10526315867900848,0.10526315867900848,0.2631579041481018,0.31578946113586426,,,0.09471212327480316,0.050899870693683624,0.10179974138736725,0.10179974138736725,0.2544993460178375,0.30539920926094055
usedfor,0.13715167343616486,0.07612457126379013,0.14186851680278778,0.19031143188476562,0.2871972322463989,0.31141868233680725,,,0.1425945907831192,0.08021499216556549,0.14801424741744995,0.19800913333892822,0.29365792870521545,0.32145583629608154
similarto,0.4618533253669739,0.2917933166027069,0.5896656513214111,0.6899695992469788,0.7750759720802307,0.8054711222648621,,,0.4648214876651764,0.29448291659355164,0.5932653546333313,0.6951722502708435,0.7783496379852295,0.8087855577468872
