relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.21793729066848755,0.1503135859966278,0.25335612893104553,0.2911418676376343,0.33747991919517517,0.3639661967754364,0.4019790291786194,0.2270754873752594,0.23620891571044922,0.1630014032125473,0.27661412954330444,0.31700918078422546,0.3645368814468384,0.391388475894928
relatedto,0.1704006791114807,0.11182335764169693,0.20174501836299896,0.23139244318008423,0.2696759104728699,0.2938034236431122,,,0.19700179994106293,0.1322021335363388,0.2345387488603592,0.26670289039611816,0.3056999146938324,0.32939615845680237
hascontext,0.16662174463272095,0.1388888955116272,0.17592592537403107,0.1944444477558136,0.2222222238779068,0.24074074625968933,,,0.16390134394168854,0.1365772932767868,0.17278452217578888,0.19035468995571136,0.21937717497348785,0.23801425099372864
isa,0.23779068887233734,0.17993246018886566,0.26290401816368103,0.299565851688385,0.3453931510448456,0.37723106145858765,,,0.22746248543262482,0.16934147477149963,0.25142261385917664,0.2891738712787628,0.33514371514320374,0.3679709732532501
synonym,0.40887901186943054,0.3103097975254059,0.47384458780288696,0.5215845704078674,0.5713560581207275,0.5957338809967041,,,0.36657875776290894,0.2628716230392456,0.43511873483657837,0.48585984110832214,0.5373043417930603,0.5632365345954895
atlocation,0.15931165218353271,0.09609609842300415,0.18168169260025024,0.22372372448444366,0.27927929162979126,0.31381383538246155,,,0.16640517115592957,0.10124144703149796,0.19050109386444092,0.23172542452812195,0.28880617022514343,0.32364004850387573
etymologicallyrelatedto,0.0749402567744255,0.021621622145175934,0.0972972959280014,0.14054054021835327,0.1945945918560028,0.2108108103275299,,,0.0747704803943634,0.021559206768870354,0.09701643139123917,0.14013484120368958,0.19403284788131714,0.21020226180553436
distinctfrom,0.2731764614582062,0.13736264407634735,0.3131868243217468,0.4615384638309479,0.598901093006134,0.6263736486434937,,,0.34332332015037537,0.1781584620475769,0.4198722541332245,0.5662050843238831,0.713878333568573,0.731897234916687
haslastsubevent,0.17327943444252014,0.10526315867900848,0.21052631735801697,0.21052631735801697,0.31578946113586426,0.42105263471603394,,,0.16769222915172577,0.10179974138736725,0.2035994827747345,0.2035994827747345,0.30539920926094055,0.407198965549469
usedfor,0.11980795115232468,0.05882352963089943,0.13840830326080322,0.1660899668931961,0.23183391988277435,0.2698962092399597,,,0.12164334952831268,0.05860587954521179,0.1421193927526474,0.16894298791885376,0.23627416789531708,0.27644965052604675
similarto,0.47987863421440125,0.31003040075302124,0.6079027652740479,0.7142857313156128,0.7781155109405518,0.8085106611251831,,,0.4824860095977783,0.3124890625476837,0.6112715601921082,0.7181163430213928,0.7814571261405945,0.8125315308570862
desires,0.03363078460097313,0.025641025975346565,0.025641025975346565,0.05128205195069313,0.05128205195069313,0.05128205195069313,,,0.03180670365691185,0.022726833820343018,0.022726833820343018,0.0542677566409111,0.0542677566409111,0.0542677566409111
antonym,0.266068696975708,0.1652892529964447,0.3037189841270447,0.37809914350509644,0.45454543828964233,0.5020660758018494,,,0.33875975012779236,0.22374413907527924,0.3919751048088074,0.4726952910423279,0.5494804978370667,0.594223141670227
dbpedia,0.15883752703666687,0.09030099958181381,0.1638796031475067,0.21404682099819183,0.33110368251800537,0.37123745679855347,,,0.15883754193782806,0.09030099958181381,0.16387958824634552,0.21404682099819183,0.33110368251800537,0.37123745679855347
partof,0.32010480761528015,0.2132701575756073,0.3981042802333832,0.4360189735889435,0.4881516695022583,0.5118483304977417,,,0.31449612975120544,0.20964239537715912,0.3893046975135803,0.42820459604263306,0.48130688071250916,0.5058262944221497
formof,0.7802061438560486,0.7051793336868286,0.8525896668434143,0.8764940500259399,0.9003984332084656,0.9083665609359741,,,0.7804701924324036,0.7055456638336182,0.8527728319168091,0.8764817714691162,0.9001907110214233,0.9080938696861267
hasa,0.14315111935138702,0.040816325694322586,0.16326530277729034,0.2448979616165161,0.3877550959587097,0.4285714328289032,,,0.14778479933738708,0.042570337653160095,0.16226501762866974,0.25386959314346313,0.400752454996109,0.44293370842933655
capableof,0.09693862497806549,0.06451612710952759,0.09677419066429138,0.11290322244167328,0.12903225421905518,0.14516128599643707,,,0.10579701513051987,0.0736154243350029,0.1026075929403305,0.12272564321756363,0.14284370839595795,0.15733979642391205
instanceof,0.3396122455596924,0.20588235557079315,0.44117647409439087,0.5,0.5588235259056091,0.5882353186607361,,,0.33961221575737,0.20588234066963196,0.4411764442920685,0.4999999403953552,0.5588235259056091,0.5882352590560913
hasprerequisite,0.11659696698188782,0.0555555559694767,0.12962962687015533,0.20370370149612427,0.24074074625968933,0.2777777910232544,,,0.12825870513916016,0.05739472061395645,0.14940062165260315,0.23015527427196503,0.2746998071670532,0.30836382508277893
motivatedbygoal,0.10107984393835068,0.0,0.13793103396892548,0.20689654350280762,0.24137930572032928,0.24137930572032928,,,0.10666240006685257,0.0,0.14820228517055511,0.21169337630271912,0.25575071573257446,0.25575071573257446
derivedfrom,0.25735312700271606,0.1462450623512268,0.3122529685497284,0.3913043737411499,0.4901185929775238,0.52173912525177,,,0.2559928894042969,0.14523357152938843,0.30982276797294617,0.38924720883369446,0.4890283942222595,0.5219993591308594
hassubevent,0.13067716360092163,0.07058823853731155,0.1411764770746231,0.20000000298023224,0.2705882489681244,0.30588236451148987,,,0.14175240695476532,0.0809883177280426,0.15685755014419556,0.20856152474880219,0.2732802927494049,0.30831313133239746
causes,0.18204182386398315,0.1388888955116272,0.1805555522441864,0.2222222238779068,0.2777777910232544,0.3194444477558136,,,0.19359007477760315,0.1511290818452835,0.1933000534772873,0.23360025882720947,0.28306975960731506,0.32656800746917725
receivesaction,0.2458844929933548,0.2142857313156128,0.2857142984867096,0.2857142984867096,0.2857142984867096,0.2857142984867096,,,0.26468339562416077,0.23601989448070526,0.2981683015823364,0.2981683015823364,0.2981683015823364,0.2981683015823364
hasproperty,0.1369585394859314,0.08045977354049683,0.12643678486347198,0.20689654350280762,0.27586206793785095,0.28735631704330444,,,0.14006580412387848,0.08160190284252167,0.12887369096279144,0.21724025905132294,0.28973090648651123,0.3001958131790161
