relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.6602387428283691,0.5791648626327515,0.7062847018241882,0.7531708478927612,0.8081800937652588,0.8413851857185364,0.19122622907161713,0.09181611239910126,0.6859509348869324,0.6049845218658447,0.7343920469284058,0.779356062412262,0.8310950398445129,0.8621926307678223
concept:academicprogramatuniversity,0.7005488276481628,0.6363636255264282,0.8181818723678589,0.8181818723678589,0.8181818723678589,0.8181818723678589,,,0.7262529134750366,0.6555583477020264,0.8559607863426208,0.8559607863426208,0.8559607863426208,0.8559607863426208
concept:acquired,0.34861522912979126,0.27272728085517883,0.3636363744735718,0.3636363744735718,0.5454545617103577,0.5454545617103577,,,0.3703226149082184,0.2895939350128174,0.38710153102874756,0.38710153102874756,0.5806152820587158,0.5806152820587158
concept:acquiredby,0.5383139252662659,0.3684210479259491,0.6842105388641357,0.7368420958518982,0.8421052694320679,0.8947368264198303,,,0.5157967209815979,0.3400235176086426,0.6701914668083191,0.69712895154953,0.8202694654464722,0.8812254667282104
concept:agentactsinlocation,0.5943326354026794,0.5037037134170532,0.6592592597007751,0.6814814805984497,0.7407407164573669,0.8370370268821716,,,0.6175429224967957,0.5281763076782227,0.6793351769447327,0.705137312412262,0.7713061571121216,0.8625266551971436
concept:agentbelongstoorganization,0.8567894697189331,0.7801418304443359,0.9219858050346375,0.9432623982429504,0.9574467539787292,0.9716311693191528,,,0.8623237013816833,0.7870404124259949,0.9268815517425537,0.9495958685874939,0.9604484438896179,0.9724777936935425
concept:agentcollaborateswithagent,0.6504465341567993,0.5925925970077515,0.6856600046157837,0.7255460619926453,0.7587844133377075,0.7758784294128418,,,0.7077658772468567,0.6535176634788513,0.7415044903755188,0.778869092464447,0.806656539440155,0.8204671740531921
concept:agentcompeteswithagent,0.4671953618526459,0.3679245412349701,0.5113207697868347,0.5811320543289185,0.6735849380493164,0.7283018827438354,,,0.49564802646636963,0.39122259616851807,0.5482544302940369,0.6170569658279419,0.7119922041893005,0.7598210573196411
concept:agentcontributedtocreativework,0.0034246575087308884,0.0,0.0,0.0,0.0,0.0,,,0.0034246575087308884,0.0,0.0,0.0,0.0,0.0
concept:agentcontrols,0.7800174951553345,0.7061403393745422,0.8245614171028137,0.8728070259094238,0.9035087823867798,0.9298245906829834,,,0.7919305562973022,0.7178071141242981,0.836597740650177,0.8859840631484985,0.9116036295890808,0.9401822090148926
concept:agentcreated,0.29044246673583984,0.1599999964237213,0.2800000011920929,0.3999999761581421,0.6800000071525574,0.7599999904632568,,,0.25933516025543213,0.12793593108654022,0.2419276237487793,0.34939515590667725,0.6471008658409119,0.7406780123710632
concept:agenthaswebsite,0.671875,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,,,0.6379310488700867,0.6321839094161987,0.6321839094161987,0.6321839094161987,0.6321839094161987,0.6321839094161987
concept:agentinvolvedwithitem,0.6314102411270142,0.5,0.75,0.75,0.75,0.75,,,0.7277501821517944,0.5775039792060852,0.8714016675949097,0.8714016675949097,0.8714016675949097,0.8714016675949097
concept:agentparticipatedinevent,0.9032120704650879,0.8888888955116272,0.9259259104728699,0.9259259104728699,0.9259259104728699,0.9259259104728699,,,0.8805402517318726,0.8628324270248413,0.9086217284202576,0.9086217284202576,0.9086217284202576,0.9086217284202576
concept:ageofperson,5.988382690702565e-05,0.0,0.0,0.0,0.0,0.0,,,5.988382690702565e-05,0.0,0.0,0.0,0.0,0.0
concept:agriculturalproductcookedwithagriculturalproduct,0.75,0.625,0.875,0.875,1.0,1.0,,,0.818181574344635,0.7272723913192749,0.9363635778427124,0.9363635778427124,1.0,1.0
concept:agriculturalproductgrowinginstateorprovince,0.004878048785030842,0.0,0.0,0.0,0.0,0.0,,,0.004878048785030842,0.0,0.0,0.0,0.0,0.0
concept:agriculturalproductincludingagriculturalproduct,0.1666666716337204,0.0,0.0,0.0,1.0,1.0,,,0.1666666716337204,0.0,0.0,0.0,1.0,1.0
concept:agriculturalproducttoattractinsect,0.1269841343164444,0.0,0.0,0.0,1.0,1.0,,,0.1269841343164444,0.0,0.0,0.0,1.0,1.0
concept:airportincity,0.06656503677368164,0.0,0.0,0.0,0.5,0.5,,,0.06656503677368164,0.0,0.0,0.0,0.5,0.5
concept:animaleatfood,0.3238004744052887,0.125,0.375,0.625,0.75,0.875,,,0.3298286497592926,0.13806630671024323,0.37252920866012573,0.6486665606498718,0.7238757610321045,0.861931324005127
concept:animaleatvegetable,0.5450762510299683,0.4444444477558136,0.6111111044883728,0.6666666865348816,0.7777777910232544,0.7777777910232544,,,0.5323095321655273,0.4315832555294037,0.6134099364280701,0.6419132351875305,0.7575120329856873,0.7575120329856873
concept:animalistypeofanimal,0.6327028870582581,0.5,0.695652186870575,0.782608687877655,0.9130434989929199,0.945652186870575,,,0.6454365253448486,0.5156647562980652,0.713376522064209,0.789011538028717,0.9178056716918945,0.9541220664978027
concept:animalpredators,0.6068428158760071,0.49523812532424927,0.6666666865348816,0.7333333492279053,0.8285714387893677,0.8952381014823914,,,0.6570800542831421,0.5434384346008301,0.7258958220481873,0.7918489575386047,0.8782002925872803,0.9291765689849854
concept:animalpreyson,0.5607220530509949,0.4266666769981384,0.6266666650772095,0.746666669845581,0.8400000333786011,0.893333375453949,,,0.5797505974769592,0.4465431272983551,0.646881639957428,0.7610907554626465,0.8437715172767639,0.8992029428482056
concept:animalssuchasmammals,0.10256410390138626,0.0,0.0,0.0,0.5,0.5,,,0.0774804949760437,0.0,0.0,0.0,0.30434781312942505,0.30434781312942505
