relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.659112274646759,0.5778110027313232,0.7077810764312744,0.7534558773040771,0.8112440705299377,0.8401738405227661,0.19086293876171112,0.09135879576206207,0.6855491399765015,0.6045205593109131,0.7362146973609924,0.7806462049484253,0.8344433903694153,0.8617204427719116
101,0.8766233325004578,0.8181818723678589,0.9090909361839294,0.9090909361839294,1.0,1.0,,,0.9123239517211914,0.8559607863426208,0.9561619758605957,0.9561619758605957,1.0,1.0
102,0.47507959604263306,0.3636363744735718,0.6363636255264282,0.6363636255264282,0.6363636255264282,0.6363636255264282,,,0.5013259053230286,0.38710153102874756,0.6645026206970215,0.6645026206970215,0.6645026206970215,0.6645026206970215
103,0.5027147531509399,0.31578946113586426,0.5789473652839661,0.8421052694320679,0.8947368264198303,0.8947368264198303,,,0.5085382461547852,0.34467774629592896,0.5514378547668457,0.819654107093811,0.8812254667282104,0.8812254667282104
104,0.688779890537262,0.5999999642372131,0.7407407164573669,0.800000011920929,0.8444444537162781,0.8814814686775208,,,0.7021772861480713,0.6193091869354248,0.7540028691291809,0.8065009713172913,0.8462300300598145,0.8892031311988831
105,0.8420951962471008,0.7730495929718018,0.9007092118263245,0.9148935675621033,0.9574467539787292,0.9716311693191528,,,0.8415317535400391,0.7708995938301086,0.900022029876709,0.9167481064796448,0.9604484438896179,0.9771181344985962
106,0.6431326866149902,0.5783475637435913,0.68660968542099,0.7198480367660522,0.7625830769538879,0.7796770930290222,,,0.6989405155181885,0.6378684639930725,0.7430922985076904,0.7717143893241882,0.8077324032783508,0.8209323287010193
107,0.5003889203071594,0.4245283007621765,0.5245283246040344,0.5754716992378235,0.6584905982017517,0.7169811725616455,,,0.536262571811676,0.4586418569087982,0.5646116137504578,0.6130433082580566,0.6989116072654724,0.7591379284858704
108,0.0005359056522138417,0.0,0.0,0.0,0.0,0.0,,,0.0005359056522138417,0.0,0.0,0.0,0.0,0.0
109,0.7695350050926208,0.6973684430122375,0.8245614171028137,0.8552631735801697,0.8947368264198303,0.9122806787490845,,,0.7874188423156738,0.7171373963356018,0.8447006940841675,0.8734824061393738,0.9126137495040894,0.9256136417388916
11,0.32058441638946533,0.1599999964237213,0.3999999761581421,0.4399999976158142,0.5999999642372131,0.6800000071525574,,,0.3080708384513855,0.15419901907444,0.3787975609302521,0.42556044459342957,0.5929758548736572,0.6799733638763428
111,0.4166666865348816,0.0,0.6666666865348816,1.0,1.0,1.0,,,0.4080459773540497,0.0,0.6321839094161987,1.0,1.0,1.0
113,0.7514045238494873,0.75,0.75,0.75,0.75,0.75,,,0.8721240758895874,0.8714016675949097,0.8714016675949097,0.8714016675949097,0.8714016675949097,0.8714016675949097
115,0.8037859201431274,0.7777777910232544,0.8518518805503845,0.8518518805503845,0.8518518805503845,0.8518518805503845,,,0.7750526666641235,0.7516239285469055,0.817044198513031,0.817044198513031,0.817044198513031,0.817044198513031
117,3.7758647522423416e-05,0.0,0.0,0.0,0.0,0.0,,,3.7758647522423416e-05,0.0,0.0,0.0,0.0,0.0
119,0.6020833253860474,0.375,0.75,0.875,0.875,1.0,,,0.6542422771453857,0.4363635182380676,0.7909088134765625,0.9363635778427124,0.9363635778427124,1.0
12,0.025641025975346565,0.0,0.0,0.0,0.0,0.0,,,0.025641025975346565,0.0,0.0,0.0,0.0,0.0
121,0.20000000298023224,0.0,0.0,1.0,1.0,1.0,,,0.20000000298023224,0.0,0.0,1.0,1.0,1.0
123,0.05512820929288864,0.0,0.0,0.0,0.0,0.5,,,0.05512820929288864,0.0,0.0,0.0,0.0,0.5
124,0.1041666716337204,0.0,0.0,0.0,0.5,0.5,,,0.1041666716337204,0.0,0.0,0.0,0.5,0.5
126,0.4375447630882263,0.25,0.375,0.875,0.875,0.875,,,0.42802682518959045,0.23730316758155823,0.3753718435764313,0.861931324005127,0.861931324005127,0.861931324005127
127,0.5337279438972473,0.3888888955116272,0.6111111044883728,0.7777777910232544,0.7777777910232544,0.8333333134651184,,,0.4899424612522125,0.32392191886901855,0.576751172542572,0.7722024321556091,0.7722024321556091,0.8226624727249146
128,0.652100682258606,0.510869562625885,0.77173912525177,0.79347825050354,0.8913043737411499,0.9239130616188049,,,0.6713070869445801,0.5318843126296997,0.7967100739479065,0.8149673342704773,0.8947809338569641,0.9248461723327637
129,0.6161049604415894,0.5047619342803955,0.6666666865348816,0.7523809671401978,0.8285714387893677,0.9047619104385376,,,0.6547881364822388,0.5441717505455017,0.7073938250541687,0.7913815379142761,0.8717588782310486,0.9279643893241882
13,0.5943120718002319,0.46666666865348816,0.6533333659172058,0.7333333492279053,0.8400000333786011,0.9466667175292969,,,0.6065375208854675,0.4703963100910187,0.6827507615089417,0.7549014687538147,0.8460867404937744,0.9528979659080505
130,0.10035310685634613,0.0,0.0,0.5,0.5,0.5,,,0.13934537768363953,0.0,0.0,0.695652186870575,0.695652186870575,0.695652186870575
132,0.6821677088737488,0.5,0.875,0.875,0.9583333730697632,0.9583333730697632,,,0.7164734601974487,0.5389178991317749,0.9125654697418213,0.9125654697418213,0.9795985817909241,0.9795985817909241
133,0.747326672077179,0.6842105388641357,0.7894737124443054,0.7894737124443054,0.8947368264198303,1.0,,,0.7425433993339539,0.6732963919639587,0.796822190284729,0.796822190284729,0.876058042049408,1.0
135,0.43310675024986267,0.2777777910232544,0.4444444477558136,0.7222222089767456,0.8888888955116272,0.944444477558136,,,0.4688645899295807,0.3156122863292694,0.5049867630004883,0.7423540353775024,0.8803426027297974,0.9443372488021851
136,0.5932203531265259,0.4637681245803833,0.6811594367027283,0.7536231875419617,0.7971014380455017,0.7971014380455017,,,0.630247175693512,0.5029696226119995,0.7229791879653931,0.7871342897415161,0.8249316215515137,0.8249316215515137
137,0.0416666679084301,0.0,0.0,0.0,0.0,0.0,,,0.0416666679084301,0.0,0.0,0.0,0.0,0.0
138,0.648809552192688,0.5,0.800000011920929,0.9000000357627869,0.9000000357627869,1.0,,,0.7342182993888855,0.617638349533081,0.8782119154930115,0.9391059279441833,0.9391059279441833,1.0
139,0.4539010226726532,0.3076923191547394,0.5384615659713745,0.692307710647583,0.692307710647583,0.7692307829856873,,,0.5444960594177246,0.3920876085758209,0.637023389339447,0.7389115691184998,0.7389115691184998,0.8471677899360657
140,0.09090909361839294,0.0,0.0,0.0,0.0,1.0,,,0.09090909361839294,0.0,0.0,0.0,0.0,1.0
141,0.5663461685180664,0.5,0.5,0.75,0.75,0.75,,,0.5663461685180664,0.5,0.5,0.75,0.75,0.75
142,0.8236797451972961,0.7601010203361511,0.8712121248245239,0.9090909361839294,0.9444444179534912,0.9621211886405945,,,0.8296799659729004,0.7691642642021179,0.8742318153381348,0.911141574382782,0.9461427330970764,0.9646678566932678
145,0.3333333432674408,0.0,1.0,1.0,1.0,1.0,,,0.3333333432674408,0.0,1.0,1.0,1.0,1.0
147,0.4642857313156128,0.3333333432674408,0.3333333432674408,0.6666666865348816,1.0,1.0,,,0.4409373700618744,0.2970137298107147,0.2970137298107147,0.7029862999916077,1.0,1.0
148,0.9047619700431824,0.8571429252624512,1.0,1.0,1.0,1.0,,,0.9546394348144531,0.9319592714309692,1.0,1.0,1.0,1.0
149,0.888888955116272,0.8333333730697632,1.0,1.0,1.0,1.0,,,0.8867570161819458,0.8301355838775635,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
150,0.7681368589401245,0.6957929134368896,0.8122977614402771,0.8381877541542053,0.9061489105224609,0.9255663752555847,,,0.7854963541030884,0.7155849933624268,0.8306332230567932,0.8538060188293457,0.91216641664505,0.9302390813827515
152,0.8416666984558105,0.800000011920929,0.9000000357627869,0.9000000357627869,0.9000000357627869,1.0,,,0.8838015794754028,0.8435572385787964,0.9523869752883911,0.9523869752883911,0.9523869752883911,1.0
154,0.4128205180168152,0.3333333432674408,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632,,,0.3839428126811981,0.30054643750190735,0.30054643750190735,0.4754098355770111,0.6502732038497925,0.8251366019248962
156,0.3626825213432312,0.20000001788139343,0.40000003576278687,0.6000000238418579,0.6000000238418579,0.7333333492279053,,,0.4010746479034424,0.2327461987733841,0.4327024519443512,0.6654486656188965,0.6654486656188965,0.7769728899002075
157,0.5177083015441895,0.5,0.5,0.5,0.5,0.5,,,0.5942424535751343,0.581818163394928,0.581818163394928,0.581818163394928,0.581818163394928,0.581818163394928
159,0.5838479399681091,0.46666669845581055,0.7333333492279053,0.7333333492279053,0.7333333492279053,0.7333333492279053,,,0.6081165075302124,0.5033628940582275,0.7517532110214233,0.7517532110214233,0.7517532110214233,0.7517532110214233
16,0.6666666865348816,0.5,1.0,1.0,1.0,1.0,,,0.6666684746742249,0.5000026822090149,1.0,1.0,1.0,1.0
160,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
162,0.0922619104385376,0.0,0.0,0.0,0.5,0.5,,,0.1120600476861,0.0,0.0,0.0,0.695652186870575,0.695652186870575
163,0.833638608455658,0.8333333730697632,0.8333333730697632,0.8333333730697632,0.8333333730697632,0.8333333730697632,,,0.8518229126930237,0.8515509963035583,0.8515509963035583,0.8515509963035583,0.8515509963035583,0.8515509963035583
164,0.8431407809257507,0.7647058963775635,0.9411764740943909,0.9411764740943909,0.9411764740943909,0.9411764740943909,,,0.8804471492767334,0.811325192451477,0.970933198928833,0.970933198928833,0.970933198928833,0.970933198928833
165,0.8636394143104553,0.7727273106575012,0.9545454978942871,0.9545454978942871,0.9545454978942871,0.9545454978942871,,,0.8498406410217285,0.7509284019470215,0.9487460255622864,0.9487460255622864,0.9487460255622864,0.9487460255622864
166,0.5,0.0,1.0,1.0,1.0,1.0,,,0.5,0.0,1.0,1.0,1.0,1.0
167,0.5,0.25,0.75,0.75,1.0,1.0,,,0.5012324452400208,0.25707390904426575,0.7423776984214783,0.7423776984214783,1.0,1.0
