relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.15915323793888092,0.06950707733631134,0.20779557526111603,0.2603535056114197,0.3208935856819153,0.35422173142433167,0.38144198060035706,0.20651325583457947,0.1728452742099762,0.07287676632404327,0.22965474426746368,0.28771263360977173,0.35256490111351013,0.3872092664241791
relatedto,0.10338553041219711,0.025373931974172592,0.14209401607513428,0.18936966359615326,0.24385683238506317,0.2736823260784149,,,0.12313336879014969,0.03089725412428379,0.17348960041999817,0.22754332423210144,0.28835731744766235,0.3196673095226288
hascontext,0.16843950748443604,0.11574073880910873,0.1944444477558136,0.236111119389534,0.26851850748062134,0.31018519401550293,,,0.167702317237854,0.11381440609693527,0.1956891566514969,0.23815599083900452,0.26917049288749695,0.31377115845680237
isa,0.16692426800727844,0.08393632620573044,0.21177038550376892,0.2595272660255432,0.3121080696582794,0.3468403220176697,,,0.1565820574760437,0.07536441087722778,0.19846679270267487,0.24588489532470703,0.2998615503311157,0.33464014530181885
synonym,0.4177067279815674,0.30929407477378845,0.488572895526886,0.5464702844619751,0.6018283367156982,0.6297613382339478,,,0.36714524030685425,0.24850060045719147,0.4440765976905823,0.5081093907356262,0.5692694187164307,0.5995836853981018
atlocation,0.10476130247116089,0.04954954981803894,0.11561562120914459,0.15465465188026428,0.21921922266483307,0.2567567527294159,,,0.10890161991119385,0.05185341462492943,0.12179545313119888,0.16090762615203857,0.22792041301727295,0.26569312810897827
etymologicallyrelatedto,0.09098239988088608,0.01621621660888195,0.12432432919740677,0.15675675868988037,0.25405406951904297,0.30270272493362427,,,0.09073369950056076,0.016169404610991478,0.12396543473005295,0.1563042402267456,0.25332069396972656,0.30182889103889465
distinctfrom,0.2233772724866867,0.016483517363667488,0.38461539149284363,0.47252747416496277,0.598901093006134,0.6318681240081787,,,0.2717491686344147,0.02040906250476837,0.47699636220932007,0.5806444883346558,0.7219285368919373,0.7460537552833557
haslastsubevent,0.10006558150053024,0.05263157933950424,0.10526315867900848,0.10526315867900848,0.21052631735801697,0.3684210479259491,,,0.09682925045490265,0.050899870693683624,0.10179974138736725,0.10179974138736725,0.2035994827747345,0.3562990725040436
usedfor,0.126516193151474,0.05536332353949547,0.15916955471038818,0.2006920427083969,0.25951558351516724,0.2975778579711914,,,0.1311582326889038,0.060048606246709824,0.16388647258281708,0.2054881900548935,0.26543015241622925,0.3040052354335785
similarto,0.3202116787433624,0.07598784565925598,0.48024317622184753,0.6443769335746765,0.7720364928245544,0.8358662724494934,,,0.3216647505760193,0.07704739272594452,0.48139774799346924,0.6479222774505615,0.775880753993988,0.8398599028587341
desires,0.06910989433526993,0.05128205195069313,0.07692307978868484,0.07692307978868484,0.07692307978868484,0.07692307978868484,,,0.07957597821950912,0.06308184564113617,0.08580867946147919,0.08580867946147919,0.08580867946147919,0.08580867946147919
antonym,0.19824060797691345,0.03925619646906853,0.3057851195335388,0.37809914350509644,0.4834710657596588,0.5351239442825317,,,0.24613194167613983,0.055693138390779495,0.38949155807495117,0.4673631489276886,0.574504017829895,0.6227969527244568
dbpedia,0.11449271440505981,0.023411370813846588,0.14381270110607147,0.19063544273376465,0.32107022404670715,0.3979932963848114,,,0.11449270695447922,0.023411370813846588,0.14381270110607147,0.19063544273376465,0.32107022404670715,0.3979932963848114
partof,0.263645738363266,0.13270142674446106,0.350710928440094,0.4265403151512146,0.5023697018623352,0.5497630834579468,,,0.25680598616600037,0.12795734405517578,0.34026575088500977,0.41788744926452637,0.4940224289894104,0.5446372032165527
formof,0.5084481239318848,0.262948215007782,0.7250996232032776,0.8127490282058716,0.8685259222984314,0.8964143991470337,,,0.5074424147605896,0.26079875230789185,0.7253031730651855,0.8132578730583191,0.8685788512229919,0.8962393403053284
hasa,0.07017520070075989,0.020408162847161293,0.040816325694322586,0.16326530277729034,0.18367347121238708,0.2448979616165161,,,0.0739508867263794,0.022233115509152412,0.044466231018304825,0.16950513422489166,0.19173824787139893,0.25615257024765015
