relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.6285477876663208,0.5366965532302856,0.6845517754554749,0.7357844710350037,0.8050448298454285,0.840458869934082,0.19183169305324554,0.09237071871757507,0.6510499119758606,0.5583603978157043,0.7102319002151489,0.7603769302368164,0.8280768394470215,0.860081136226654
concept:academicprogramatuniversity,0.7923553586006165,0.7272727489471436,0.8181818723678589,0.8181818723678589,0.9090909361839294,1.0,,,0.8223705291748047,0.7557595372200012,0.8559607863426208,0.8559607863426208,0.9561619758605957,1.0
concept:acquired,0.37861183285713196,0.27272728085517883,0.4545454680919647,0.4545454680919647,0.6363636255264282,0.7272727489471436,,,0.3995513319969177,0.28787803649902344,0.4830004572868347,0.4830004572868347,0.6645030379295349,0.7621174454689026
concept:acquiredby,0.37191399931907654,0.10526315867900848,0.5789473652839661,0.6842105388641357,0.8947368264198303,0.8947368264198303,,,0.36795321106910706,0.11941176652908325,0.546782374382019,0.6695763468742371,0.879063069820404,0.879063069820404
concept:agentactsinlocation,0.575629472732544,0.5111110806465149,0.5777777433395386,0.6370370388031006,0.7259259223937988,0.7851851582527161,,,0.5910515785217285,0.5257323384284973,0.5948771238327026,0.650646448135376,0.7398644089698792,0.8025468587875366
concept:agentbelongstoorganization,0.8263987898826599,0.7517729997634888,0.9007092118263245,0.9148935675621033,0.9645389914512634,0.9645389914512634,,,0.8263893127441406,0.7526853680610657,0.8994336128234863,0.9114261865615845,0.9641095399856567,0.9641095399856567
concept:agentcollaborateswithagent,0.6512480974197388,0.5868945717811584,0.697055995464325,0.724596381187439,0.7625830769538879,0.7825260758399963,,,0.7055405974388123,0.6447325348854065,0.7505979537963867,0.7753829956054688,0.8088186979293823,0.8254047632217407
concept:agentcompeteswithagent,0.5050745606422424,0.4113207459449768,0.5471698045730591,0.6037735939025879,0.701886773109436,0.7622641324996948,,,0.5425443053245544,0.44575658440589905,0.5965754985809326,0.648634672164917,0.7364022135734558,0.7895711064338684
concept:agentcontributedtocreativework,0.003289473708719015,0.0,0.0,0.0,0.0,0.0,,,0.003289473708719015,0.0,0.0,0.0,0.0,0.0
concept:agentcontrols,0.6938467025756836,0.5526315569877625,0.8157894611358643,0.8684210777282715,0.9078947305679321,0.9254385828971863,,,0.7006563544273376,0.5624504685401917,0.8192321062088013,0.8713743090629578,0.9124820232391357,0.934165358543396
