relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.054390329867601395,0.02747110277414322,0.06416834890842438,0.08277613669633865,0.11118022352457047,0.12558959424495697,0.43476513028144836,0.25462862849235535,0.056580062955617905,0.02701047621667385,0.0676417425274849,0.08811599761247635,0.11935225129127502,0.13507764041423798
relatedto,0.02839086204767227,0.008012820035219193,0.03561253473162651,0.04923433065414429,0.07309472560882568,0.08431267738342285,,,0.03414609655737877,0.009900116361677647,0.04377046972513199,0.05966854840517044,0.0871298536658287,0.0999075174331665
hascontext,0.020921261981129646,0.013888888992369175,0.023148149251937866,0.032407406717538834,0.03703703731298447,0.03703703731298447,,,0.021646158769726753,0.01451124344021082,0.02382977493107319,0.03421519696712494,0.03834101930260658,0.03834101930260658
isa,0.04892962425947189,0.025566810742020607,0.05354558676481247,0.07525325566530228,0.1003376767039299,0.11384467035531998,,,0.044887181371450424,0.02139812521636486,0.04949260130524635,0.07094340771436691,0.09716034680604935,0.11070334166288376
synonym,0.22529713809490204,0.1686135083436966,0.2579990029335022,0.29202643036842346,0.3250381052494049,0.3473844528198242,,,0.18537941575050354,0.1318189799785614,0.2135704755783081,0.24740958213806152,0.2826976478099823,0.307797908782959
atlocation,0.02381611242890358,0.006006006151437759,0.030030030757188797,0.03903903812170029,0.06156156212091446,0.06756757199764252,,,0.024502232670783997,0.006906944327056408,0.029676295816898346,0.03787238895893097,0.06295807659626007,0.07010175287723541
etymologicallyrelatedto,0.01108953170478344,0.0054054055362939835,0.01621621660888195,0.01621621660888195,0.021621622145175934,0.021621622145175934,,,0.011060058139264584,0.005389801692217588,0.016169404610991478,0.016169404610991478,0.021559206768870354,0.021559206768870354
distinctfrom,0.10902190208435059,0.021978022530674934,0.12087912112474442,0.19230769574642181,0.3241758346557617,0.3956044018268585,,,0.12618061900138855,0.02125772461295128,0.14598791301250458,0.24227891862392426,0.3942200243473053,0.466100811958313
haslastsubevent,0.0030567802023142576,0.0,0.0,0.0,0.0,0.0,,,0.0029876434709876776,0.0,0.0,0.0,0.0,0.0
usedfor,0.03076113946735859,0.010380622930824757,0.038062285631895065,0.044982701539993286,0.07612457126379013,0.08650518953800201,,,0.03222192823886871,0.010883541777729988,0.03977556526660919,0.045964356511831284,0.0824875459074974,0.09257090836763382
similarto,0.07090746611356735,0.015197568573057652,0.09118541330099106,0.12765957415103912,0.18844984471797943,0.21276596188545227,,,0.06927477568387985,0.014260265976190567,0.0887538492679596,0.12476614862680435,0.1856379210948944,0.2104973942041397
desires,0.0005503037828020751,0.0,0.0,0.0,0.0,0.0,,,0.0005447323783300817,0.0,0.0,0.0,0.0,0.0
antonym,0.05997587740421295,0.00413223123177886,0.06404958665370941,0.10950412601232529,0.19628098607063293,0.23553718626499176,,,0.06992752850055695,0.0051484545692801476,0.07774144411087036,0.12759529054164886,0.23084942996501923,0.2737969160079956
dbpedia,0.022701112553477287,0.006688963156193495,0.016722407191991806,0.023411370813846588,0.05351170524954796,0.07692307978868484,,,0.022701112553477287,0.006688963156193495,0.016722407191991806,0.023411370813846588,0.05351170524954796,0.07692307233810425
partof,0.0820380225777626,0.0379146933555603,0.11374408006668091,0.1374407708644867,0.15639811754226685,0.18009479343891144,,,0.08231576532125473,0.03881086781620979,0.11442019045352936,0.13473674654960632,0.15414220094680786,0.1765602082014084
formof,0.12581723928451538,0.055776894092559814,0.1593625545501709,0.22310757637023926,0.2788844704627991,0.31075698137283325,,,0.12704071402549744,0.05634275823831558,0.1611252725124359,0.22537103295326233,0.2806919813156128,0.31230396032333374
hasa,0.010499928146600723,0.0,0.0,0.020408162847161293,0.020408162847161293,0.040816325694322586,,,0.009767456911504269,0.0,0.0,0.017665108665823936,0.017665108665823936,0.03533021733164787
capableof,0.0005686284275725484,0.0,0.0,0.0,0.0,0.0,,,0.0005608150386251509,0.0,0.0,0.0,0.0,0.0
instanceof,0.02314579114317894,0.0,0.029411764815449715,0.029411764815449715,0.0882352963089943,0.11764705926179886,,,0.02314579300582409,0.0,0.029411764815449715,0.029411764815449715,0.0882352888584137,0.11764705926179886
hasprerequisite,0.05412601679563522,0.018518518656492233,0.0555555559694767,0.1111111119389534,0.1111111119389534,0.1666666716337204,,,0.0660298615694046,0.023359933868050575,0.070450559258461,0.13835501670837402,0.13835501670837402,0.19574974477291107
motivatedbygoal,0.031679797917604446,0.0,0.0,0.03448275849223137,0.17241379618644714,0.17241379618644714,,,0.033370357006788254,0.0,0.0,0.031745545566082,0.1881568878889084,0.1881568878889084
derivedfrom,0.03786461800336838,0.007905138656497002,0.04743083193898201,0.07114624977111816,0.10276680439710617,0.1146245077252388,,,0.03801858052611351,0.007742243818938732,0.04745449498295784,0.07168225198984146,0.10365226119756699,0.1152656301856041
hassubevent,0.03429575636982918,0.0117647061124444,0.03529411926865578,0.0470588244497776,0.08235294371843338,0.11764705926179886,,,0.03446775674819946,0.013014809228479862,0.03369639441370964,0.04403718560934067,0.07773357629776001,0.1170046254992485
causes,0.0795290470123291,0.0555555559694767,0.0833333358168602,0.1111111119389534,0.1388888955116272,0.1527777761220932,,,0.08662265539169312,0.06226179003715515,0.09019461274147034,0.11999819427728653,0.14473293721675873,0.15710031986236572
receivesaction,0.0005681224283762276,0.0,0.0,0.0,0.0,0.0,,,0.0005825007683597505,0.0,0.0,0.0,0.0,0.0
hasproperty,0.0008198689320124686,0.0,0.0,0.0,0.0,0.0,,,0.0008227523067034781,0.0,0.0,0.0,0.0,0.0
entails,0.06804268062114716,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.11764705926179886,0.11764705926179886,,,0.06804268062114716,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.11764705926179886,0.11764705926179886
hasfirstsubevent,0.05621885880827904,0.0,0.10000000149011612,0.10000000149011612,0.20000000298023224,0.20000000298023224,,,0.06348917633295059,0.0,0.10927718132734299,0.10927718132734299,0.22587300837039948,0.22587300837039948
notdesires,0.00036755658220499754,0.0,0.0,0.0,0.0,0.0,,,0.00038771232357248664,0.0,0.0,0.0,0.0,0.0
causesdesire,0.008187207393348217,0.0,0.0,0.0,0.03846153989434242,0.07692307978868484,,,0.007406878750771284,0.0,0.0,0.0,0.03443576768040657,0.06887153536081314
madeof,0.0011269868118688464,0.0,0.0,0.0,0.0,0.0,,,0.0011341266799718142,0.0,0.0,0.0,0.0,0.0
nothasproperty,0.001085583120584488,0.0,0.0,0.0,0.0,0.0,,,0.0011003507534042,0.0,0.0,0.0,0.0,0.0
createdby,0.024661071598529816,0.0,0.0,0.0,0.1666666716337204,0.1666666716337204,,,0.02110610157251358,0.0,0.0,0.0,0.14171792566776276,0.14171792566776276
notcapableof,0.0003903170581907034,0.0,0.0,0.0,0.0,0.0,,,0.00042050087358802557,0.0,0.0,0.0,0.0,0.0
definedas,0.001479289960116148,0.0,0.0,0.0,0.0,0.0,,,0.001479289960116148,0.0,0.0,0.0,0.0,0.0
