relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.09079619497060776,0.03628258779644966,0.11651894450187683,0.1519203782081604,0.20442646741867065,0.2296169549226761,0.4036460816860199,0.2308262586593628,0.09540468454360962,0.034319233149290085,0.1257096529006958,0.16467197239398956,0.22127479314804077,0.24926096200942993
relatedto,0.054936911910772324,0.00498575484380126,0.07968305051326752,0.10933048278093338,0.15527065098285675,0.1794871836900711,,,0.06572858989238739,0.005659245885908604,0.09808709472417831,0.13279131054878235,0.18415004014968872,0.21185345947742462
hascontext,0.033780571073293686,0.013888888992369175,0.03703703731298447,0.05092592537403107,0.08796296268701553,0.08796296268701553,,,0.03415608033537865,0.01451124344021082,0.03727412596344948,0.05178536847233772,0.0879926010966301,0.0879926010966301
isa,0.0669894888997078,0.017366135492920876,0.08779546618461609,0.12879884243011475,0.17317897081375122,0.19681620597839355,,,0.06421872228384018,0.015676112845540047,0.08331253379583359,0.12379790097475052,0.16875618696212769,0.19357477128505707
synonym,0.34979844093322754,0.2798374891281128,0.3951244354248047,0.432199090719223,0.48603352904319763,0.508887767791748,,,0.29359549283981323,0.21695145964622498,0.3431691825389862,0.3839797079563141,0.44236141443252563,0.4678304195404053
atlocation,0.021311800926923752,0.0015015015378594398,0.021021021530032158,0.03753753751516342,0.07057057321071625,0.08858858793973923,,,0.021797167137265205,0.0013660155236721039,0.020950423553586006,0.03688969835639,0.07265723496675491,0.09237854182720184
etymologicallyrelatedto,0.041554149240255356,0.01621621660888195,0.0486486479640007,0.07567568123340607,0.10810811072587967,0.1135135143995285,,,0.041438087821006775,0.016169404610991478,0.04850821569561958,0.07545721530914307,0.10779602825641632,0.1131858304142952
distinctfrom,0.1591097116470337,0.005494505632668734,0.23076923191547394,0.3461538553237915,0.5,0.5274725556373596,,,0.1888054758310318,0.003137907711789012,0.3035288453102112,0.4230117201805115,0.5809118747711182,0.6098588109016418
haslastsubevent,0.017001209780573845,0.0,0.0,0.0,0.0,0.05263157933950424,,,0.01646057330071926,0.0,0.0,0.0,0.0,0.050899870693683624
usedfor,0.05128135159611702,0.017301037907600403,0.05190311744809151,0.06920415163040161,0.13840830326080322,0.16955018043518066,,,0.0544782392680645,0.019472865387797356,0.05548982322216034,0.07303023338317871,0.14232352375984192,0.17791056632995605
similarto,0.11629200726747513,0.006079027429223061,0.15197569131851196,0.23708206415176392,0.3556230962276459,0.4072948396205902,,,0.11418797075748444,0.005576415453106165,0.14834871888160706,0.234079971909523,0.3539929687976837,0.40362709760665894
desires,0.0015649283304810524,0.0,0.0,0.0,0.0,0.0,,,0.0014722408959642053,0.0,0.0,0.0,0.0,0.0
antonym,0.0890926793217659,0.0,0.10330577939748764,0.19214874505996704,0.32024791836738586,0.35537189245224,,,0.10758212953805923,0.0,0.12746337056159973,0.2368161529302597,0.38489121198654175,0.42465439438819885
dbpedia,0.04109685495495796,0.0033444815780967474,0.043478261679410934,0.08695652335882187,0.14046822488307953,0.16053511202335358,,,0.04109685495495796,0.0033444815780967474,0.043478261679410934,0.08695652335882187,0.14046822488307953,0.16053511202335358
partof,0.1544032096862793,0.08056872338056564,0.1990521401166916,0.23222750425338745,0.2985782027244568,0.3412322402000427,,,0.15626420080661774,0.08588796108961105,0.19911782443523407,0.2296624779701233,0.29600536823272705,0.33993029594421387
formof,0.22493866086006165,0.043824702501297,0.36653387546539307,0.48605579137802124,0.593625545501709,0.6254980564117432,,,0.22515329718589783,0.04346645623445511,0.3666030466556549,0.4861697554588318,0.5959255695343018,0.6275375485420227
hasa,0.013979210518300533,0.0,0.0,0.0,0.040816325694322586,0.06122449040412903,,,0.01343748439103365,0.0,0.0,0.0,0.03533021733164787,0.05299532413482666
capableof,0.009675477631390095,0.0,0.0,0.0,0.04838709533214569,0.04838709533214569,,,0.00900435633957386,0.0,0.0,0.0,0.04348824545741081,0.04348824545741081
instanceof,0.06614881753921509,0.0,0.0882352963089943,0.11764705926179886,0.20588235557079315,0.20588235557079315,,,0.06614881753921509,0.0,0.0882352888584137,0.11764705926179886,0.20588234066963196,0.20588234066963196
hasprerequisite,0.05765576660633087,0.018518518656492233,0.0555555559694767,0.07407407462596893,0.12962962687015533,0.1666666716337204,,,0.06562074273824692,0.023359933868050575,0.06392263621091843,0.08728256821632385,0.14213119447231293,0.18269388377666473
motivatedbygoal,0.030232304707169533,0.0,0.03448275849223137,0.03448275849223137,0.06896551698446274,0.17241379618644714,,,0.03036939911544323,0.0,0.031745545566082,0.031745545566082,0.07170014828443527,0.17994782328605652
derivedfrom,0.08897291123867035,0.011857707984745502,0.11067193746566772,0.1660079061985016,0.28853756189346313,0.3478260934352875,,,0.08876306563615799,0.011613365262746811,0.1103934720158577,0.16559022665023804,0.28659602999687195,0.3466649055480957
hassubevent,0.06195403262972832,0.0117647061124444,0.07058823853731155,0.10588235408067703,0.15294118225574493,0.20000000298023224,,,0.06338270008563995,0.010340793058276176,0.07140323519706726,0.10933784395456314,0.1631878912448883,0.2085614949464798
causes,0.13499726355075836,0.0972222238779068,0.1388888955116272,0.1527777761220932,0.236111119389534,0.2777777910232544,,,0.14848920702934265,0.10895813256502151,0.1543271541595459,0.1666945368051529,0.25423452258110046,0.29133665561676025
receivesaction,0.007156718522310257,0.0,0.0,0.0,0.0,0.0714285746216774,,,0.006362030282616615,0.0,0.0,0.0,0.0,0.06214841827750206
hasproperty,0.01980491913855076,0.0,0.02298850566148758,0.03448275849223137,0.06896551698446274,0.06896551698446274,,,0.020929928869009018,0.0,0.025218864902853966,0.035683758556842804,0.07113700360059738,0.07113700360059738
entails,0.04626861959695816,0.0,0.05882352963089943,0.11764705926179886,0.1764705926179886,0.23529411852359772,,,0.04626861587166786,0.0,0.05882352963089943,0.11764705926179886,0.1764705926179886,0.23529411852359772
hasfirstsubevent,0.05271459370851517,0.0,0.10000000149011612,0.15000000596046448,0.15000000596046448,0.25,,,0.05683267116546631,0.0,0.10927718132734299,0.1576601266860962,0.1576601266860962,0.2742559313774109
notdesires,0.0005519096157513559,0.0,0.0,0.0,0.0,0.0,,,0.0005867352592758834,0.0,0.0,0.0,0.0,0.0
causesdesire,0.05129064619541168,0.03846153989434242,0.03846153989434242,0.07692307978868484,0.07692307978868484,0.11538462340831757,,,0.047110337764024734,0.03443576768040657,0.03443576768040657,0.06887153536081314,0.06887153536081314,0.11742094904184341
madeof,0.01000893022865057,0.0,0.0,0.0,0.0,0.125,,,0.009740330278873444,0.0,0.0,0.0,0.0,0.12108606100082397
