relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.11553754657506943,0.04099932685494423,0.14196859300136566,0.19260871410369873,0.26221945881843567,0.3008345067501068,0.39908233284950256,0.22683735191822052,0.12298385798931122,0.039294980466365814,0.15527532994747162,0.211423859000206,0.28790274262428284,0.3297206461429596
relatedto,0.07214096933603287,0.006677350495010614,0.09704416245222092,0.139334037899971,0.19720441102981567,0.22729700803756714,,,0.08612795919179916,0.007973667234182358,0.12015648931264877,0.16994352638721466,0.2353799045085907,0.268758624792099
hascontext,0.06365799158811569,0.013888888992369175,0.06481481343507767,0.1111111119389534,0.17592592537403107,0.2222222238779068,,,0.06586640328168869,0.01451124344021082,0.06736350804567337,0.11608994752168655,0.18131966888904572,0.2279123067855835
isa,0.08011261373758316,0.009165461175143719,0.08779546618461609,0.1495417356491089,0.2378195822238922,0.2889532148838043,,,0.07959624379873276,0.008760339580476284,0.08850257098674774,0.14799730479717255,0.2365027815103531,0.28612369298934937
synonym,0.40622812509536743,0.3164042830467224,0.4581005573272705,0.5048248171806335,0.569832444190979,0.6038598418235779,,,0.3453039526939392,0.24736103415489197,0.4020150303840637,0.4534333646297455,0.5250725746154785,0.5616126656532288
atlocation,0.05081554874777794,0.0015015015378594398,0.048048049211502075,0.0855855867266655,0.14864864945411682,0.18468469381332397,,,0.05210499092936516,0.0010127787245437503,0.050194185227155685,0.08849668502807617,0.1512613743543625,0.18937760591506958
etymologicallyrelatedto,0.07177270203828812,0.010810811072587967,0.0972972959280014,0.1459459513425827,0.18378378450870514,0.227027028799057,,,0.07157353311777115,0.010779603384435177,0.09701642394065857,0.14552463591098785,0.1832532435655594,0.2263716608285904
distinctfrom,0.16429483890533447,0.0,0.2252747267484665,0.3681318759918213,0.5109890103340149,0.598901093006134,,,0.19573505222797394,0.0,0.2872005105018616,0.4582447409629822,0.6147860288619995,0.6882923245429993
haslastsubevent,0.04323497787117958,0.0,0.0,0.10526315867900848,0.15789473056793213,0.21052631735801697,,,0.04190438985824585,0.0,0.0,0.10179974138736725,0.15269960463047028,0.2035994827747345
usedfor,0.0784987136721611,0.024221453815698624,0.06920415163040161,0.12802769243717194,0.19031143188476562,0.25605538487434387,,,0.08282843977212906,0.026461834087967873,0.07409436255693436,0.13310015201568604,0.20080958306789398,0.2685406804084778
similarto,0.16990002989768982,0.012158054858446121,0.24924013018608093,0.34954407811164856,0.4832826852798462,0.5683890581130981,,,0.16843268275260925,0.012429734691977501,0.24395589530467987,0.3458627462387085,0.4800359904766083,0.5651288628578186
desires,0.004618396516889334,0.0,0.0,0.0,0.0,0.0,,,0.0045261867344379425,0.0,0.0,0.0,0.0,0.0
antonym,0.12456613034009933,0.0061983466148376465,0.14876031875610352,0.2582644522190094,0.3760330379009247,0.4400826394557953,,,0.1539827287197113,0.009837363846600056,0.196615070104599,0.32603493332862854,0.45777302980422974,0.522417426109314
dbpedia,0.055670060217380524,0.0033444815780967474,0.040133778005838394,0.08695652335882187,0.20066890120506287,0.26421403884887695,,,0.05567004904150963,0.0033444815780967474,0.040133778005838394,0.08695652335882187,0.20066888630390167,0.26421406865119934
partof,0.18323914706707,0.08056872338056564,0.19431281089782715,0.27014219760894775,0.4123222827911377,0.5023697018623352,,,0.18330690264701843,0.08693868666887283,0.19032646715641022,0.26479601860046387,0.40140557289123535,0.49130627512931824
formof,0.36262282729148865,0.08366534113883972,0.6055777072906494,0.7091633677482605,0.8207171559333801,0.8645418882369995,,,0.3646143674850464,0.08604685217142105,0.6067582964897156,0.7105189561843872,0.8221826553344727,0.8656490445137024
hasa,0.033376533538103104,0.0,0.0,0.020408162847161293,0.12244898080825806,0.1428571343421936,,,0.0349879115819931,0.0,0.0,0.022233115509152412,0.12960690259933472,0.15184001624584198
capableof,0.0329631008207798,0.0,0.032258063554763794,0.04838709533214569,0.08064515888690948,0.11290322244167328,,,0.032262858003377914,0.0,0.028992166742682457,0.049110230058431625,0.08404366672039032,0.11303584277629852
