relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.11052510142326355,0.04296895116567612,0.13248328864574432,0.17851033806800842,0.2421085387468338,0.28087908029556274,0.4013691842556,0.22877351939678192,0.11754099279642105,0.04217230901122093,0.14377690851688385,0.19467927515506744,0.26489725708961487,0.3071317672729492
relatedto,0.06792312115430832,0.008547008037567139,0.08885327726602554,0.12473290413618088,0.17690527439117432,0.21216167509555817,,,0.08090203255414963,0.010203576646745205,0.10967902094125748,0.15090899169445038,0.21046188473701477,0.2503146529197693
hascontext,0.0623188279569149,0.013888888992369175,0.0694444477558136,0.12037037312984467,0.16203704476356506,0.18518519401550293,,,0.06403465569019318,0.01451124344021082,0.07148931920528412,0.12434158474206924,0.16680842638015747,0.1906381994485855
isa,0.08635255694389343,0.01929570734500885,0.09503135830163956,0.15918958187103271,0.23396044969558716,0.27978774905204773,,,0.08413061499595642,0.017730573192238808,0.09135052561759949,0.15514463186264038,0.23140285909175873,0.27714288234710693
synonym,0.3877860903739929,0.3011681139469147,0.4347384572029114,0.48654139041900635,0.540375828742981,0.572371780872345,,,0.32995209097862244,0.23835597932338715,0.3777206242084503,0.4348844885826111,0.49185141921043396,0.5266591906547546
atlocation,0.04552025720477104,0.006006006151437759,0.036036036908626556,0.06756757199764252,0.12912912666797638,0.17717717587947845,,,0.04724723845720291,0.006170535925775766,0.037056680768728256,0.07089833170175552,0.1342395842075348,0.18560999631881714
etymologicallyrelatedto,0.06223487854003906,0.0054054055362939835,0.07567568123340607,0.1297297328710556,0.16756756603717804,0.1783783882856369,,,0.06206538528203964,0.005389801692217588,0.07545721530914307,0.12935523688793182,0.16708385944366455,0.17786343395709991
distinctfrom,0.1606849879026413,0.010989011265337467,0.2142857164144516,0.3241758346557617,0.48351648449897766,0.5659340620040894,,,0.19206582009792328,0.01829158514738083,0.26465409994125366,0.3845979869365692,0.5911259651184082,0.660582959651947
haslastsubevent,0.05242878571152687,0.0,0.05263157933950424,0.10526315867900848,0.15789473056793213,0.21052631735801697,,,0.050753407180309296,0.0,0.050899870693683624,0.10179974138736725,0.15269960463047028,0.2035994827747345
usedfor,0.07349306344985962,0.024221453815698624,0.06574394553899765,0.11764705926179886,0.19723184406757355,0.23875433206558228,,,0.07662013173103333,0.02486148104071617,0.07066785544157028,0.12282100319862366,0.20539836585521698,0.2482679784297943
similarto,0.15004384517669678,0.021276596933603287,0.21276596188545227,0.2735562324523926,0.39817628264427185,0.45896658301353455,,,0.1492815613746643,0.02111358381807804,0.2124127596616745,0.27200761437416077,0.3955817222595215,0.45709192752838135
desires,0.005148943047970533,0.0,0.0,0.0,0.0,0.025641025975346565,,,0.0050794403068721294,0.0,0.0,0.0,0.0,0.022726833820343018
antonym,0.1086641252040863,0.0061983466148376465,0.12603305280208588,0.21694214642047882,0.34090906381607056,0.3884297311306,,,0.13265389204025269,0.009129746817052364,0.1601928025484085,0.2660074532032013,0.41617894172668457,0.46376389265060425
dbpedia,0.05777968838810921,0.0033444815780967474,0.05351170524954796,0.09364548325538635,0.19063544273376465,0.23745819926261902,,,0.05777968838810921,0.0033444815780967474,0.05351170524954796,0.09364549070596695,0.19063544273376465,0.23745818436145782
partof,0.17595893144607544,0.08056872338056564,0.20853081345558167,0.28436020016670227,0.3981042802333832,0.44549763202667236,,,0.1763996183872223,0.08588796108961105,0.20251640677452087,0.2790873944759369,0.3881649076938629,0.4345768690109253
formof,0.3590330183506012,0.14741036295890808,0.4940239191055298,0.6533864736557007,0.7768924236297607,0.8286852836608887,,,0.3610708713531494,0.15029260516166687,0.49509456753730774,0.6551980376243591,0.7776944041252136,0.8300856947898865
hasa,0.033066075295209885,0.0,0.0,0.020408162847161293,0.1428571343421936,0.18367347121238708,,,0.03377126157283783,0.0,0.0,0.017665108665823936,0.1472720205783844,0.18717023730278015
capableof,0.014027032069861889,0.0,0.0,0.0,0.016129031777381897,0.06451612710952759,,,0.013816962949931622,0.0,0.0,0.0,0.014496083371341228,0.0639256089925766
instanceof,0.12686023116111755,0.05882352963089943,0.11764705926179886,0.20588235557079315,0.29411765933036804,0.3529411852359772,,,0.12686023116111755,0.05882352963089943,0.11764705926179886,0.20588234066963196,0.29411762952804565,0.3529411554336548
hasprerequisite,0.05405609309673309,0.0,0.03703703731298447,0.07407407462596893,0.18518519401550293,0.24074074625968933,,,0.06001535430550575,0.0,0.047090619802474976,0.08075465261936188,0.20350772142410278,0.2674303650856018
motivatedbygoal,0.04622168093919754,0.0,0.03448275849223137,0.06896551698446274,0.13793103396892548,0.24137930572032928,,,0.04708327353000641,0.0,0.031745545566082,0.07170014828443527,0.14820228517055511,0.2516479790210724
derivedfrom,0.14202824234962463,0.03162055462598801,0.16996048390865326,0.27272728085517883,0.41897234320640564,0.48221346735954285,,,0.14229251444339752,0.03096897527575493,0.17246441543102264,0.2741146385669708,0.41934818029403687,0.4832881987094879
hassubevent,0.0641072615981102,0.0,0.07058823853731155,0.11764705926179886,0.20000000298023224,0.2235294133424759,,,0.06605608761310577,0.0,0.0756414532661438,0.11967863887548447,0.20432327687740326,0.23325352370738983
