relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.45223528146743774,0.3111015856266022,0.5337038636207581,0.6145076155662537,0.714906632900238,0.7642154693603516,0.22094447910785675,0.10373606532812119,0.4613417983055115,0.3171885311603546,0.5457619428634644,0.62808758020401,0.7279565334320068,0.7770299315452576
101,0.5288012027740479,0.3636363744735718,0.5454545617103577,0.8181818723678589,0.9090909361839294,0.9090909361839294,,,0.5581735372543335,0.3972821533679962,0.5554121732711792,0.8559607863426208,0.9561619758605957,0.9561619758605957
102,0.17566311359405518,0.09090909361839294,0.1818181872367859,0.1818181872367859,0.3636363744735718,0.4545454680919647,,,0.1864071935415268,0.0976148322224617,0.19197909533977509,0.19197909533977509,0.3853856325149536,0.4830004572868347
103,0.19036512076854706,0.0,0.15789473056793213,0.31578946113586426,0.6842105388641357,0.9473684430122375,,,0.18753957748413086,0.0,0.14787667989730835,0.2975213825702667,0.7198054194450378,0.9384289383888245
104,0.14773906767368317,0.014814814552664757,0.14814814925193787,0.34074074029922485,0.43703702092170715,0.5111110806465149,,,0.1483984738588333,0.015485193580389023,0.15811632573604584,0.332091748714447,0.4283331632614136,0.5042185187339783
105,0.6981477737426758,0.5815602540969849,0.8014184236526489,0.8297871947288513,0.8936169743537903,0.9219858050346375,,,0.6826669573783875,0.5644757151603699,0.7843377590179443,0.8178106546401978,0.8824969530105591,0.9153711199760437
106,0.5549331307411194,0.404558390378952,0.6600189805030823,0.7321937084197998,0.8081670999526978,0.8395061492919922,,,0.5865398049354553,0.4411942660808563,0.6889646053314209,0.7593664526939392,0.8263879418373108,0.8562305569648743
107,0.2917514741420746,0.16603773832321167,0.33396226167678833,0.4283019006252289,0.5584905743598938,0.6150943636894226,,,0.29204028844833374,0.15913885831832886,0.33670032024383545,0.43630799651145935,0.5694149136543274,0.625560462474823
108,0.0025316455867141485,0.0,0.0,0.0,0.0,0.0,,,0.0025316455867141485,0.0,0.0,0.0,0.0,0.0
109,0.5511200428009033,0.42543861269950867,0.6447368264198303,0.6885964870452881,0.7543859481811523,0.8026315569877625,,,0.5609356760978699,0.42676424980163574,0.664858341217041,0.7032869458198547,0.7696163058280945,0.8197421431541443
11,0.18113024532794952,0.07999999821186066,0.19999998807907104,0.3199999928474426,0.3999999761581421,0.4399999976158142,,,0.1448906511068344,0.04094001278281212,0.16156522929668427,0.29514533281326294,0.349244624376297,0.3960075080394745
111,0.40204501152038574,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.6666666865348816,,,0.42294618487358093,0.36781609058380127,0.36781609058380127,0.6321839094161987,0.6321839094161987,0.6321839094161987
113,0.3544642925262451,0.25,0.25,0.5,0.75,0.75,,,0.4111023545265198,0.29389768838882446,0.29389768838882446,0.5877963900566101,0.8714016675949097,0.8714016675949097
115,0.5513712763786316,0.29629629850387573,0.7777777910232544,0.8148148059844971,0.8518518805503845,0.8518518805503845,,,0.5671853423118591,0.3244633376598358,0.7769777774810791,0.8227674961090088,0.8685572743415833,0.8685572743415833
117,3.673634273582138e-05,0.0,0.0,0.0,0.0,0.0,,,3.673634273582138e-05,0.0,0.0,0.0,0.0,0.0
119,0.7291666865348816,0.625,0.75,0.875,0.875,1.0,,,0.8007573485374451,0.7272723913192749,0.7909088134765625,0.9363635778427124,0.9363635778427124,1.0
12,0.025641025975346565,0.0,0.0,0.0,0.0,0.0,,,0.025641025975346565,0.0,0.0,0.0,0.0,0.0
121,0.1666666716337204,0.0,0.0,0.0,1.0,1.0,,,0.1666666716337204,0.0,0.0,0.0,1.0,1.0
