relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.08360517024993896,0.03648991882801056,0.0912766307592392,0.12491577118635178,0.17617788910865784,0.21002435684204102,0.46291765570640564,0.2809005379676819,0.08800763636827469,0.0358964242041111,0.09703787416219711,0.1350138783454895,0.19118940830230713,0.22806888818740845
relatedto,0.05013516545295715,0.011485042981803417,0.05546652525663376,0.08199786394834518,0.12259615212678909,0.15242165327072144,,,0.05931015685200691,0.013546253554522991,0.06737398356199265,0.09956106543540955,0.14610633254051208,0.1800084114074707
hascontext,0.03906864672899246,0.013888888992369175,0.02777777798473835,0.0555555559694767,0.09259259700775146,0.11574073880910873,,,0.039841506630182266,0.01451124344021082,0.027955595403909683,0.05591118335723877,0.09425220638513565,0.11701508611440659
isa,0.055935561656951904,0.012542209587991238,0.051133621484041214,0.0863482877612114,0.15050651133060455,0.1866859644651413,,,0.055704034864902496,0.012359784916043282,0.04927150160074234,0.08619424700737,0.15198183059692383,0.18833352625370026
synonym,0.322861909866333,0.23768411576747894,0.37074658274650574,0.4225495159626007,0.48247843980789185,0.5134586095809937,,,0.2716220021247864,0.18724431097507477,0.31685104966163635,0.3692561388015747,0.43090546131134033,0.46381813287734985
atlocation,0.027382241562008858,0.0030030030757188797,0.022522523999214172,0.03153153136372566,0.06456456333398819,0.09609609842300415,,,0.028408795595169067,0.003291898174211383,0.024555912241339684,0.0333118699491024,0.06557359546422958,0.09779566526412964
etymologicallyrelatedto,0.04573299363255501,0.0054054055362939835,0.0486486479640007,0.09189189225435257,0.11891892552375793,0.15135136246681213,,,0.04560241103172302,0.005389801692217588,0.048508211970329285,0.0916266217827797,0.11857563257217407,0.15091444551944733
distinctfrom,0.13286159932613373,0.049450550228357315,0.10989011079072952,0.2032967060804367,0.3681318759918213,0.44505494832992554,,,0.1545935422182083,0.06191328540444374,0.12751658260822296,0.24091368913650513,0.4031408429145813,0.5074967741966248
haslastsubevent,0.04211512207984924,0.0,0.05263157933950424,0.05263157933950424,0.10526315867900848,0.10526315867900848,,,0.040770649909973145,0.0,0.050899870693683624,0.050899870693683624,0.10179974138736725,0.10179974138736725
usedfor,0.06098761409521103,0.017301037907600403,0.05882352963089943,0.08996540307998657,0.1487889289855957,0.193771630525589,,,0.062498677521944046,0.017872510477900505,0.05900614708662033,0.09019239246845245,0.15560723841190338,0.2015034556388855
similarto,0.13863715529441833,0.042553193867206573,0.1762917935848236,0.24620060622692108,0.31610941886901855,0.36474165320396423,,,0.1383010298013687,0.04286562278866768,0.17576199769973755,0.24404072761535645,0.31295788288116455,0.36267682909965515
desires,0.004157892428338528,0.0,0.0,0.0,0.0,0.025641025975346565,,,0.004249023739248514,0.0,0.0,0.0,0.0,0.022726833820343018
antonym,0.080074742436409,0.014462809078395367,0.07851239293813705,0.13429751992225647,0.2293388396501541,0.2913222908973694,,,0.09759177267551422,0.021562008187174797,0.09860466420650482,0.1647123247385025,0.26973989605903625,0.3394796550273895
dbpedia,0.04476780816912651,0.006688963156193495,0.040133778005838394,0.05351170524954796,0.1137123703956604,0.15719063580036163,,,0.04476780444383621,0.006688963156193495,0.040133778005838394,0.05351170524954796,0.1137123629450798,0.15719063580036163
partof,0.14233151078224182,0.07109005004167557,0.16587677597999573,0.19431281089782715,0.27962085604667664,0.350710928440094,,,0.1434222310781479,0.07460915297269821,0.16533194482326508,0.1939147412776947,0.2733587324619293,0.3422781527042389
formof,0.1778600811958313,0.05179283022880554,0.2031872570514679,0.3147410452365875,0.4621514081954956,0.5498008131980896,,,0.17865610122680664,0.05239126458764076,0.2035699039697647,0.31523361802101135,0.4634825885295868,0.5514373183250427
hasa,0.024516616016626358,0.0,0.0,0.040816325694322586,0.06122449040412903,0.08163265138864517,,,0.02446405589580536,0.0,0.0,0.03989822417497635,0.06213134154677391,0.0797964483499527
capableof,0.007844864390790462,0.0,0.0,0.0,0.032258063554763794,0.032258063554763794,,,0.007971225306391716,0.0,0.0,0.0,0.03493344411253929,0.03493344411253929
instanceof,0.09713961184024811,0.029411764815449715,0.11764705926179886,0.1764705926179886,0.20588235557079315,0.29411765933036804,,,0.09713961184024811,0.029411764815449715,0.11764705926179886,0.1764705777168274,0.20588234066963196,0.29411762952804565
hasprerequisite,0.03724732995033264,0.0,0.0,0.09259259700775146,0.12962962687015533,0.1666666716337204,,,0.04118996858596802,0.0,0.0,0.10193924605846405,0.13995586335659027,0.18704646825790405
motivatedbygoal,0.060191553086042404,0.03448275849223137,0.03448275849223137,0.03448275849223137,0.10344827175140381,0.13793103396892548,,,0.05730222165584564,0.031745545566082,0.031745545566082,0.031745545566082,0.10344569385051727,0.13519123196601868
derivedfrom,0.07314430922269821,0.007905138656497002,0.07114624977111816,0.12648221850395203,0.24110673367977142,0.2806324362754822,,,0.07321982085704803,0.007742243818938732,0.07068122178316116,0.1268789917230606,0.2431456446647644,0.28185686469078064
hassubevent,0.04747277498245239,0.0,0.0470588244497776,0.0941176488995552,0.16470588743686676,0.21176470816135406,,,0.0514114648103714,0.0,0.05228584632277489,0.10434392094612122,0.1746373325586319,0.22692318260669708
causes,0.11974295228719711,0.0694444477558136,0.1111111119389534,0.1944444477558136,0.236111119389534,0.2638888955116272,,,0.1295531839132309,0.07782723754644394,0.1245235800743103,0.20699474215507507,0.24409687519073486,0.27390044927597046
receivesaction,0.007332419045269489,0.0,0.0,0.0,0.0,0.0,,,0.007634414359927177,0.0,0.0,0.0,0.0,0.0
hasproperty,0.02188452146947384,0.0,0.0,0.02298850566148758,0.08045977354049683,0.09195402264595032,,,0.021599093452095985,0.0,0.0,0.020929785445332527,0.08160190284252167,0.09206678718328476
entails,0.045567672699689865,0.0,0.05882352963089943,0.11764705926179886,0.11764705926179886,0.11764705926179886,,,0.045567672699689865,0.0,0.05882352963089943,0.11764705926179886,0.11764705926179886,0.11764705926179886
hasfirstsubevent,0.06986591219902039,0.0,0.0,0.20000000298023224,0.3499999940395355,0.3499999940395355,,,0.07159701734781265,0.0,0.0,0.19353176653385162,0.3710218071937561,0.3710218071937561
notdesires,0.004761182237416506,0.0,0.0,0.0,0.0,0.043478261679410934,,,0.005824797786772251,0.0,0.0,0.0,0.0,0.056092239916324615
causesdesire,0.06773200631141663,0.03846153989434242,0.07692307978868484,0.07692307978868484,0.07692307978868484,0.07692307978868484,,,0.06882856041193008,0.03443576768040657,0.08298517763614655,0.08298517763614655,0.08298517763614655,0.08298517763614655
madeof,0.11082054674625397,0.0,0.125,0.375,0.375,0.5,,,0.11019708216190338,0.0,0.12108606100082397,0.36325815320014954,0.36325815320014954,0.5156557559967041
nothasproperty,0.10693352669477463,0.0,0.1666666716337204,0.1666666716337204,0.3333333432674408,0.3333333432674408,,,0.1066470518708229,0.0,0.15978041291236877,0.15978041291236877,0.3608783185482025,0.3608783185482025
createdby,0.03927304223179817,0.0,0.0,0.0,0.1666666716337204,0.1666666716337204,,,0.03877408429980278,0.0,0.0,0.0,0.17836464941501617,0.17836464941501617
notcapableof,0.0029068547300994396,0.0,0.0,0.0,0.0,0.0,,,0.0033696009777486324,0.0,0.0,0.0,0.0,0.0
definedas,0.1428571492433548,0.0,0.0,0.0,1.0,1.0,,,0.1428571492433548,0.0,0.0,0.0,1.0,1.0
