relation,mrr,hits@1,hits@3,hits@5,hits@10,hits@15,mae,mse,wmrr,whits@1,whits@3,whits@5,whits@10,whits@15
overall,0.08751451224088669,0.03778572380542755,0.09573420137166977,0.13248328864574432,0.18659617006778717,0.22241227328777313,0.45913323760032654,0.27784183621406555,0.09219397604465485,0.03723395988345146,0.10226322710514069,0.1431477963924408,0.20271560549736023,0.24171721935272217
relatedto,0.05088585615158081,0.009437321685254574,0.05644586682319641,0.0868055522441864,0.13025285303592682,0.16203702986240387,,,0.06016691401600838,0.011469961144030094,0.06898131966590881,0.10426962375640869,0.15459302067756653,0.1906237155199051
hascontext,0.04463648796081543,0.018518518656492233,0.0416666679084301,0.06018518656492233,0.09259259700775146,0.12037037312984467,,,0.046322572976350784,0.019703954458236694,0.04246683418750763,0.06323768198490143,0.09745287150144577,0.12434158474206924
isa,0.059164632111787796,0.012542209587991238,0.05643994361162186,0.09889049828052521,0.15870718657970428,0.19826339185237885,,,0.05907091498374939,0.012185079976916313,0.05566893145442009,0.09966569393873215,0.16124050319194794,0.20056664943695068
synonym,0.34432750940322876,0.2579990029335022,0.39258506894111633,0.4443880319595337,0.5007618069648743,0.5307262539863586,,,0.29036402702331543,0.20353829860687256,0.3368237316608429,0.38987186551094055,0.45022597908973694,0.48137223720550537
atlocation,0.02886214852333069,0.0015015015378594398,0.024024024605751038,0.036036036908626556,0.07657657563686371,0.10810811072587967,,,0.029652945697307587,0.001925882650539279,0.024862214922904968,0.037233222275972366,0.0772080346941948,0.10943010449409485
etymologicallyrelatedto,0.054268889129161835,0.010810811072587967,0.07567568123340607,0.1135135143995285,0.1459459513425827,0.15675675868988037,,,0.05411481484770775,0.010779603384435177,0.07545721530914307,0.1131858229637146,0.14552463591098785,0.1563042402267456
distinctfrom,0.1278039664030075,0.032967034727334976,0.11538461595773697,0.18681319057941437,0.3791208863258362,0.48351648449897766,,,0.14519114792346954,0.03604844957590103,0.13365663588047028,0.2143053561449051,0.45878905057907104,0.5611743330955505
haslastsubevent,0.03491237759590149,0.0,0.05263157933950424,0.05263157933950424,0.10526315867900848,0.10526315867900848,,,0.03382593393325806,0.0,0.050899870693683624,0.050899870693683624,0.10179974138736725,0.10179974138736725
usedfor,0.06095686927437782,0.017301037907600403,0.05536332353949547,0.0968858152627945,0.1314878910779953,0.18685121834278107,,,0.06414081901311874,0.01867268793284893,0.0592484250664711,0.10098610818386078,0.13773509860038757,0.1929144710302353
similarto,0.14103803038597107,0.04559270665049553,0.1762917935848236,0.24012158811092377,0.3252279758453369,0.3951367735862732,,,0.14080384373664856,0.04597305506467819,0.17576199769973755,0.24037966132164001,0.3235571086406708,0.39502808451652527
desires,0.013158264569938183,0.0,0.025641025975346565,0.025641025975346565,0.025641025975346565,0.025641025975346565,,,0.015250450000166893,0.0,0.0320415198802948,0.0320415198802948,0.0320415198802948,0.0320415198802948
antonym,0.08890214562416077,0.020661156624555588,0.0764462798833847,0.13636362552642822,0.2623966932296753,0.3264462649822235,,,0.10967165976762772,0.029373493045568466,0.09630764275789261,0.17666204273700714,0.31700795888900757,0.38696449995040894
dbpedia,0.04480631276965141,0.006688963156193495,0.040133778005838394,0.07023411244153976,0.13712374866008759,0.1638796031475067,,,0.04480631276965141,0.006688963156193495,0.040133778005838394,0.07023411244153976,0.1371237337589264,0.1638796031475067
partof,0.1441575586795807,0.0758293867111206,0.1516587734222412,0.20379146933555603,0.2890995442867279,0.35545024275779724,,,0.14293722808361053,0.07657100260257721,0.14788837730884552,0.19993989169597626,0.28043463826179504,0.35106950998306274
formof,0.21071188151836395,0.06772908568382263,0.25498008728027344,0.38247013092041016,0.5697211027145386,0.6374502182006836,,,0.21212534606456757,0.06921906024217606,0.25596117973327637,0.3834308683872223,0.5701729655265808,0.6393920183181763
hasa,0.023873528465628624,0.0,0.0,0.020408162847161293,0.06122449040412903,0.10204081237316132,,,0.023660831153392792,0.0,0.0,0.017665108665823936,0.05299532413482666,0.09289354830980301
capableof,0.0071762558072805405,0.0,0.0,0.0,0.0,0.016129031777381897,,,0.007295533549040556,0.0,0.0,0.0,0.0,0.020437361672520638
instanceof,0.05887533724308014,0.0,0.05882352963089943,0.14705882966518402,0.1764705926179886,0.20588235557079315,,,0.05887533724308014,0.0,0.05882352963089943,0.14705881476402283,0.1764705777168274,0.20588234066963196
hasprerequisite,0.037816841155290604,0.0,0.018518518656492233,0.0555555559694767,0.1111111119389534,0.18518519401550293,,,0.041553642600774765,0.0,0.023359933868050575,0.06137654185295105,0.1187712550163269,0.21258176863193512
motivatedbygoal,0.05779826268553734,0.03448275849223137,0.03448275849223137,0.03448275849223137,0.10344827175140381,0.10344827175140381,,,0.05505288019776344,0.031745545566082,0.031745545566082,0.031745545566082,0.10344569385051727,0.10344569385051727
derivedfrom,0.0817924290895462,0.003952569328248501,0.0830039530992508,0.13438735902309418,0.2648221552371979,0.3280632495880127,,,0.08124096691608429,0.003871121909469366,0.08129356056451797,0.13261917233467102,0.264370322227478,0.3283103108406067
hassubevent,0.05048191919922829,0.0117647061124444,0.03529411926865578,0.08235294371843338,0.1411764770746231,0.20000000298023224,,,0.054423172026872635,0.013014809228479862,0.04194505512714386,0.08598224073648453,0.14994530379772186,0.21257194876670837
causes,0.12224466353654861,0.0833333358168602,0.125,0.1805555522441864,0.236111119389534,0.236111119389534,,,0.13338801264762878,0.09339268505573273,0.1419597715139389,0.1964981108903885,0.24596762657165527,0.24596762657165527
receivesaction,0.0108573529869318,0.0,0.0,0.0,0.0,0.0,,,0.011210303753614426,0.0,0.0,0.0,0.0,0.0
hasproperty,0.019638998433947563,0.0,0.0,0.01149425283074379,0.06896551698446274,0.09195402264595032,,,0.020030446350574493,0.0,0.0,0.014753972180187702,0.07113700360059738,0.09206679463386536
entails,0.04360724240541458,0.0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.23529411852359772,,,0.04360724240541458,0.0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.23529411852359772
hasfirstsubevent,0.05734099820256233,0.0,0.0,0.15000000596046448,0.30000001192092896,0.3499999940395355,,,0.059216391295194626,0.0,0.0,0.14514881372451782,0.3226388990879059,0.3710218071937561
notdesires,0.0022723472211509943,0.0,0.0,0.0,0.0,0.0,,,0.002688633045181632,0.0,0.0,0.0,0.0,0.0
causesdesire,0.08560016751289368,0.07692307978868484,0.07692307978868484,0.07692307978868484,0.07692307978868484,0.07692307978868484,,,0.09146417677402496,0.08298517763614655,0.08298517763614655,0.08298517763614655,0.08298517763614655,0.08298517763614655
madeof,0.0744113177061081,0.0,0.0,0.0,0.375,0.5,,,0.0749279037117958,0.0,0.0,0.0,0.36325815320014954,0.5156557559967041
nothasproperty,0.10162406414747238,0.0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,,0.1000075489282608,0.0,0.15978041291236877,0.15978041291236877,0.15978041291236877,0.15978041291236877
createdby,0.08977656066417694,0.0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,,0.09496192634105682,0.0,0.17836464941501617,0.17836464941501617,0.17836464941501617,0.17836464941501617
