model,dataset,n,mrr_mean,mrr_std,wmrr_mean,wmrr_std,hits@1_mean,hits@1_std,hits@3_mean,hits@3_std,hits@5_mean,hits@5_std,hits@10_mean,hits@10_std,whits@1_mean,whits@1_std,whits@3_mean,whits@3_std,whits@5_mean,whits@5_std,whits@10_mean,whits@10_std,mae_mean,mae_std
BEUrRE,cn15k,1,0.135574,,0.145995,,0.042969,,0.193853,,0.234697,,0.285077,,,,,,,,,,0.378205,
BEUrRE,nl27k,1,0.150465,,0.166251,,0.037338,,0.216759,,0.267493,,0.332692,,,,,,,,,,0.361866,
BEUrRE,ppi5k,1,0.045113,,0.032938,,9.2e-05,,0.069936,,0.087523,,0.108748,,,,,,,,,,0.397293,
DSGAT2_complex,cn15k,5,0.218883,0.003545,0.236608,0.003643,0.15248,0.005007,0.253398,0.002433,0.290012,0.00192,0.336754,0.001846,0.165063,0.005226,0.275527,0.002595,0.314466,0.002482,0.363243,0.001906,0.400635,0.001248
DSGAT2_complex,nl27k,5,0.663074,0.005383,0.688793,0.005197,0.582827,0.005992,0.70952,0.004876,0.75642,0.005589,0.813752,0.00551,0.608965,0.006081,0.737228,0.004266,0.782678,0.005298,0.836374,0.005298,0.191285,0.000459
DSGAT2_complex,ppi5k,5,0.962544,0.005168,0.967756,0.004283,0.943048,0.007495,0.979788,0.003395,0.984613,0.002738,0.99046,0.001553,0.949533,0.006514,0.984567,0.002455,0.988041,0.001878,0.992217,0.001045,0.586417,0.000101
DSGATA1_complex,ppi5k,2,0.920686,0.022301,0.924004,0.024231,0.883149,0.031774,0.952095,0.015529,0.964733,0.011069,0.977233,0.008432,0.881606,0.037588,0.96165,0.013308,0.97281,0.008883,0.98286,0.006159,0.5865,0.000219
EGAT_complex,cn15k,5,0.088484,0.003447,0.09311,0.003854,0.03565,0.000547,0.111388,0.005854,0.147795,0.007353,0.197958,0.009533,0.033926,0.000434,0.120063,0.006731,0.160689,0.00853,0.215112,0.010988,0.402964,0.004617
EGAT_complex,nl27k,5,0.408693,0.009419,0.42492,0.009465,0.318683,0.008643,0.452587,0.0098,0.509662,0.012005,0.582913,0.011687,0.331541,0.008806,0.471515,0.009899,0.529915,0.012345,0.60505,0.011678,0.246958,0.00405
EGAT_complex,ppi5k,5,0.75959,0.006193,0.731941,0.006884,0.668407,0.009843,0.837053,0.005142,0.874282,0.002962,0.894254,0.004756,0.603098,0.011509,0.847333,0.004752,0.888154,0.002608,0.907344,0.004573,0.490157,0.00584
GATV2_complex,cn15k,5,0.112361,0.001114,0.119622,0.001253,0.043539,0.000437,0.135821,0.001914,0.181517,0.002221,0.245333,0.002482,0.042893,0.000513,0.147673,0.00232,0.198407,0.002777,0.268435,0.002729,0.40486,0.00283
GATV2_complex,nl27k,5,0.449219,0.015648,0.457991,0.01592,0.30627,0.01809,0.533319,0.015007,0.612313,0.012803,0.711871,0.010086,0.311967,0.018557,0.545503,0.014874,0.625731,0.012792,0.724824,0.010026,0.223627,0.002701
GATV2_complex,ppi5k,5,0.706005,0.008081,0.675425,0.00749,0.603094,0.009687,0.772974,0.008187,0.833858,0.008559,0.889374,0.00587,0.533179,0.010017,0.78105,0.007971,0.851047,0.008655,0.905919,0.00579,0.467717,0.006592
PASSLEAF,cn15k,5,0.165158,0.012955,0.184689,0.013625,0.091412,0.005217,0.195677,0.020267,0.244223,0.024775,0.306578,0.027031,,,,,,,,,0.396438,0.009911
PASSLEAF,nl27k,5,0.59585,0.00197,0.6301,0.002048,0.50486,0.00271,0.645817,0.003743,0.696451,0.002554,0.761836,0.002189,,,,,,,,,0.06057,0.000322
PASSLEAF,ppi5k,5,0.682221,0.038958,0.710301,0.038667,0.520506,0.049098,0.810065,0.037621,0.882072,0.027258,0.953444,0.012815,,,,,,,,,0.024116,5.4e-05
UPGAT,cn15k,3,0.146,0.003,0.165,0.004,0.078,0.004,0.168,0.004,0.21,0.005,0.281,0.005,,,,,,,,,0.072,0.001
UPGAT,nl27k,3,0.607,0.010525,0.65,0.012359,0.522,0.013039,0.651,0.009805,0.693,0.01304,0.763,0.006886,,,,,,,,,0.07059,2.6e-05
UPGAT,ppi5k,3,0.92,0.010665,0.945,0.006842,0.877,0.014685,0.957,0.00631,0.977,0.002019,0.988,0.001971,,,,,,,,,0.027646,0.00016
WSGAT_complex,cn15k,5,0.083583,0.002343,0.088004,0.002528,0.035847,0.001352,0.090893,0.003004,0.125818,0.004013,0.178562,0.004643,0.035237,0.001435,0.096954,0.003285,0.136011,0.004367,0.193967,0.00504,0.457109,0.005691
WSGAT_complex,nl27k,5,0.391102,0.007801,0.400081,0.008226,0.284922,0.007734,0.439176,0.008433,0.505487,0.009983,0.59353,0.010378,0.291474,0.00853,0.450732,0.008618,0.517909,0.009786,0.60696,0.010149,0.286519,0.009197
WSGAT_complex,ppi5k,5,0.341259,0.084523,0.353494,0.067138,0.215488,0.071644,0.388739,0.105071,0.496344,0.12297,0.617514,0.112573,0.21112,0.054949,0.415174,0.083914,0.527736,0.099569,0.653109,0.095029,0.328575,0.05622
